Date	Close/Last
4/24/2025	56.29
4/25/2025	56.71
4/28/2025	56.84
4/29/2025	57.34
4/30/2025	57.73
5/1/2025	58.12
5/2/2025	59.33
5/5/2025	59.32
5/6/2025	59.22
5/7/2025	59.57
5/8/2025	59.71
5/9/2025	59.77
5/12/2025	61.67
5/13/2025	61.78
5/14/2025	61.29
5/15/2025	64.26
5/16/2025	63.62
5/19/2025	63.92
5/20/2025	63.42
5/21/2025	63.2
5/22/2025	63.36
5/23/2025	63.11
5/27/2025	63.75
5/28/2025	63.34
5/29/2025	63.05
5/30/2025	63.04
6/2/2025	63.85
6/3/2025	64.36
6/4/2025	64.39
6/5/2025	64.62
6/6/2025	66.06
6/9/2025	65.9
6/10/2025	65.15
6/11/2025	64.19
6/12/2025	65.1
6/13/2025	64.09
6/16/2025	65.51
6/17/2025	65.33
6/18/2025	65.84
6/20/2025	66.32
6/23/2025	67.38
6/24/2025	67.89
6/25/2025	68.19
6/26/2025	68.95
6/27/2025	68.65
6/30/2025	69.38
7/1/2025	69.1
7/2/2025	68.59
7/3/2025	69.37
7/7/2025	68.93
7/8/2025	68.59
7/9/2025	69.27
7/10/2025	68.76
7/11/2025	67.95
7/14/2025	67.82
7/15/2025	67.18
7/16/2025	67.37
7/17/2025	68.3
7/18/2025	68.05
7/21/2025	68.34
7/22/2025	68.16
7/23/2025	68.62
7/24/2025	68.29
7/25/2025	68.69
7/28/2025	67.92
7/29/2025	67.96
7/30/2025	68.275
7/31/2025	68.08
8/1/2025	67.11
8/4/2025	68.49
8/5/2025	67.52
8/6/2025	69.21
8/7/2025	69.9
8/8/2025	71.79
8/11/2025	70.67
8/12/2025	71.38
8/13/2025	70.4
8/14/2025	69.3
8/15/2025	66.2
8/18/2025	66.95
8/19/2025	66.76
8/20/2025	67.11
8/21/2025	67.02
8/22/2025	67.32
8/25/2025	67.14
8/26/2025	68.39
8/27/2025	68.44
8/28/2025	69.43
8/29/2025	69.09
9/2/2025	67.8
9/3/2025	67.67
9/4/2025	67.99
9/5/2025	66.9
9/8/2025	66.88
9/9/2025	67.34
9/10/2025	68.13
9/11/2025	67.69
9/12/2025	66.53
9/15/2025	67.02
9/16/2025	66.93
9/17/2025	67.72
9/18/2025	68.68
9/19/2025	68.21
9/22/2025	67.75
9/23/2025	67.54
9/24/2025	67.32
9/25/2025	67.85
9/26/2025	67.22
9/29/2025	67.72
9/30/2025	68.42
10/1/2025	68.75
10/2/2025	68.31
10/3/2025	67.92
10/6/2025	68.91
10/7/2025	68.985
10/8/2025	70.33
10/9/2025	69.96
10/10/2025	67.94
10/13/2025	67.46
10/14/2025	68.66
10/15/2025	69.52
10/16/2025	69.09
10/17/2025	70.13
10/20/2025	70.65
10/21/2025	70.72
10/22/2025	70.66
10/23/2025	70.27
10/24/2025	70.63
10/27/2025	71.39
10/28/2025	72.62
10/29/2025	71.33
10/30/2025	72.91
10/31/2025	73.11
11/3/2025	74.45
11/4/2025	72.32
11/5/2025	72.1
11/6/2025	71.04
11/7/2025	71.07
11/10/2025	72.09
11/11/2025	71.71
11/12/2025	73.96
11/13/2025	77.38
11/14/2025	78
11/17/2025	77.78
11/18/2025	77.37
11/19/2025	78.39
11/20/2025	75.44
11/21/2025	76.1
11/24/2025	76.24
11/25/2025	76.32
11/26/2025	76.07
11/28/2025	76.94
12/1/2025	76.04
12/2/2025	76.87
12/3/2025	77.75
12/4/2025	77.76
12/5/2025	77.97
12/8/2025	78.86
12/9/2025	79.51
12/10/2025	80.25
12/11/2025	79.27
12/12/2025	77.8
12/15/2025	78.25
12/16/2025	77.55
12/17/2025	76
12/18/2025	76.95
12/19/2025	78.42
12/22/2025	78.11
12/23/2025	78.02
12/24/2025	78.02
12/26/2025	78.16
12/29/2025	77.79
12/30/2025	77.41
12/31/2025	77.03
1/2/2026	76.04
1/5/2026	75.58
1/6/2026	75.23
1/7/2026	74.72
1/8/2026	73.96
1/9/2026	73.88
1/12/2026	74.01
1/13/2026	75.47
1/14/2026	74.41
1/15/2026	75.25
1/16/2026	75.19
1/20/2026	73.35
1/21/2026	73.69
1/22/2026	74.33
1/23/2026	74.59
1/26/2026	77.01
1/27/2026	78.68
1/28/2026	78.96
1/29/2026	78.43
1/30/2026	78.32
2/2/2026	80.64
2/3/2026	83.11
2/4/2026	81.16
2/5/2026	82.36
2/6/2026	84.82
2/9/2026	86.78
2/10/2026	86.29
2/11/2026	85.54
2/12/2026	75
2/13/2026	76.85
2/17/2026	76.85
2/18/2026	78.18
2/19/2026	78.56
2/20/2026	79.2
2/23/2026	77.74
2/24/2026	78.14
2/25/2026	79.12
2/26/2026	78.1
2/27/2026	79.46
3/2/2026	79.42
3/3/2026	78.96
3/4/2026	80.87
3/5/2026	80.01
3/6/2026	78.64
3/9/2026	76.21
3/10/2026	77.7
3/11/2026	78.1
3/12/2026	77.74
3/13/2026	78.33
3/16/2026	78.9
3/17/2026	79.27
3/18/2026	77.6
3/19/2026	78.51
3/20/2026	77.65
3/23/2026	78.82
3/24/2026	80.86
3/25/2026	81.83
3/26/2026	82.16
3/27/2026	79.92
3/30/2026	77.04
3/31/2026	77.59
4/1/2026	77.93
4/2/2026	79.02
4/6/2026	80.435
4/7/2026	80.68
4/8/2026	83.7
4/9/2026	83.17
4/10/2026	82.22
4/13/2026	82.35
4/14/2026	82.61
4/15/2026	82.36
4/16/2026	84.5
4/17/2026	86.25
4/20/2026	87.71
4/21/2026	89.7
4/22/2026	89.8
4/23/2026	88.59
