Date	Close/Last
4/24/2025	502.41
4/25/2025	506.11
4/28/2025	506.42
4/29/2025	509.49
4/30/2025	509.74
5/1/2025	513.35
5/2/2025	520.71
5/5/2025	517.99
5/6/2025	513.58
5/7/2025	515.9
5/8/2025	519.34
5/9/2025	518.65
5/12/2025	535.92
5/13/2025	539.44
5/14/2025	540.11
5/15/2025	542.76
5/16/2025	546.26
5/19/2025	546.82
5/20/2025	544.88
5/21/2025	535.77
5/22/2025	536.02
5/23/2025	532.4
5/27/2025	543.34
5/28/2025	540.24
5/29/2025	542.32
5/30/2025	541.76
6/2/2025	544.91
6/3/2025	548
6/4/2025	547.65
6/5/2025	545.09
6/6/2025	550.66
6/9/2025	551.25
6/10/2025	554.39
6/11/2025	552.86
6/12/2025	554.95
6/13/2025	548.77
6/16/2025	554.07
6/17/2025	549.35
6/18/2025	549.24
6/20/2025	547.72
6/23/2025	553.36
6/24/2025	559.44
6/25/2025	559.72
6/26/2025	564.15
6/27/2025	566.95
6/30/2025	568.03
7/1/2025	567.77
7/2/2025	570.29
7/3/2025	575.22
7/7/2025	570.61
7/8/2025	570.23
7/9/2025	573.61
7/10/2025	575.29
7/11/2025	573.22
7/14/2025	574.35
7/15/2025	571.86
7/16/2025	573.74
7/17/2025	577.18
7/18/2025	576.92
7/21/2025	577.95
7/22/2025	577.95
7/23/2025	582.86
7/24/2025	583.26
7/25/2025	585.58
7/28/2025	585.44
7/29/2025	583.92
7/30/2025	583.21
7/31/2025	581.02
8/1/2025	571.45
8/4/2025	580.14
8/5/2025	577.35
8/6/2025	581.64
8/7/2025	581.29
8/8/2025	585.74
8/11/2025	584.54
8/12/2025	590.78
8/13/2025	592.84
8/14/2025	592.85
8/15/2025	591.57
8/18/2025	591.36
8/19/2025	588.13
8/20/2025	586.58
8/21/2025	584.27
8/22/2025	593.21
8/25/2025	590.7
8/26/2025	593.06
8/27/2025	594.42
8/28/2025	596.52
8/29/2025	593.08
9/2/2025	588.71
9/3/2025	591.72
9/4/2025	596.59
9/5/2025	594.96
9/8/2025	596.5
9/9/2025	597.95
9/10/2025	599.68
9/11/2025	604.57
9/12/2025	604.44
9/15/2025	607.59
9/16/2025	606.79
9/17/2025	606.09
9/18/2025	608.94
9/19/2025	611.78
9/22/2025	614.76
9/23/2025	611.54
9/24/2025	609.5
9/25/2025	606.59
9/26/2025	610.16
9/29/2025	610.13
9/30/2025	612.38
10/1/2025	614.57
10/2/2025	615.25
10/3/2025	615.3
10/6/2025	617.4
10/7/2025	615.2
10/8/2025	618.77
10/9/2025	617.1
10/10/2025	600.51
10/13/2025	609.61
10/14/2025	608.75
10/15/2025	611.43
10/16/2025	607.39
10/17/2025	610.76
10/20/2025	617.17
10/21/2025	617.09
10/22/2025	613.97
10/23/2025	617.44
10/24/2025	622.55
10/27/2025	630
10/28/2025	631.69
10/29/2025	631.95
10/30/2025	625.24
10/31/2025	627.04
11/3/2025	628.27
11/4/2025	620.99
11/5/2025	622.86
11/6/2025	616.24
11/7/2025	616.89
11/10/2025	626.47
11/11/2025	627.91
11/12/2025	628.22
11/13/2025	617.99
11/14/2025	617.83
11/17/2025	612.04
11/18/2025	607
11/19/2025	609.2
11/20/2025	599.96
11/21/2025	605.93
11/24/2025	614.94
11/25/2025	620.66
11/26/2025	624.95
11/28/2025	628.41
12/1/2025	625.52
12/2/2025	626.58
12/3/2025	628.77
12/4/2025	629.3
12/5/2025	630.48
12/8/2025	628.61
12/9/2025	628.1
12/10/2025	632.16
12/11/2025	633.71
12/12/2025	626.87
12/15/2025	625.96
12/16/2025	624.21
12/17/2025	617.35
12/18/2025	622.01
12/19/2025	627.56
12/22/2025	629.73
12/23/2025	632.67
12/24/2025	634.78
12/26/2025	634.84
12/29/2025	632.6
12/30/2025	631.72
12/31/2025	627.13
1/2/2026	628.3
1/5/2026	632.46
1/6/2026	636.21
1/7/2026	634.17
1/8/2026	634.06
1/9/2026	638.31
1/12/2026	639.34
1/13/2026	638.03
1/14/2026	634.94
1/15/2026	636.62
1/16/2026	636.09
1/20/2026	623.15
1/21/2026	630.29
1/22/2026	633.57
1/23/2026	633.83
1/26/2026	637.09
1/27/2026	639.7
1/28/2026	639.6
1/29/2026	638.27
1/30/2026	636.22
2/2/2026	639.68
2/3/2026	634.15
2/4/2026	630.91
2/5/2026	623.1
2/6/2026	635.24
2/9/2026	638.23
2/10/2026	636.44
2/11/2026	636.35
2/12/2026	626.49
2/13/2026	626.89
2/17/2026	627.99
2/18/2026	631.15
2/19/2026	629.53
2/20/2026	634.02
2/23/2026	627.63
2/24/2026	632.21
2/25/2026	637.53
2/26/2026	633.95
2/27/2026	631.04
3/2/2026	631.28
3/3/2026	625.72
3/4/2026	630.18
3/5/2026	626.81
3/6/2026	618.43
3/9/2026	623.8
3/10/2026	622.72
3/11/2026	622.03
3/12/2026	612.5
3/13/2026	609.09
3/16/2026	615.19
3/17/2026	616.89
3/18/2026	608.38
3/19/2026	606.75
3/20/2026	597.94
3/23/2026	604.43
3/24/2026	602.38
3/25/2026	605.66
3/26/2026	594.92
3/27/2026	582.96
3/30/2026	580.93
3/31/2026	597.55
4/1/2026	602.3
4/2/2026	602.99
4/6/2026	605.67
4/7/2026	606.04
4/8/2026	621.34
4/9/2026	625.02
4/10/2026	624.6
4/13/2026	630.72
4/14/2026	638.35
4/15/2026	643.45
4/16/2026	644.86
4/17/2026	652.78
4/20/2026	651.54
4/21/2026	647.25
4/22/2026	653.9
4/23/2026	651.26
